L,channel,gL,gamma,m2_mean,m2_sem,delta_coh_single_layer,delta_coh_layered,delta_sec_layered,delta_cov,active_ell,active_j,n_init,n_input,n,sector_r,teacher_seed,m2_noiseless_mean,m2_baseline,log_decay,lambda_w,gamma_L,D_M,lambda_coh
5,dephase,0.1,0.02,0.0003799407155118,3.711355141406153e-05,0.0783999999999995,0.3351673640084969,0.0,1.8230368745713406e-16,3,1,50,5,8,1,42,0.000723609099663,0.000723609099663,0.6442361002469161,3.995999999999889,0.1,0.6442361002469161,3.995999999999889
5,dephase,0.2,0.04,0.0001943606662907,1.89910242407274e-05,0.1536000000000007,0.5656115457763693,0.0,1.972580051623012e-16,3,1,50,5,8,1,42,0.000723609099663,0.000723609099663,1.314535791326688,3.995999999999889,0.2,1.314535791326688,3.995999999999889
5,dephase,0.3,0.06,9.66747166041442e-05,9.447983740580598e-06,0.2256000000000005,0.721499023990599,0.0,1.8912734646110442e-16,3,1,50,5,8,1,42,0.000723609099663,0.000723609099663,2.01289942292468,3.995999999999889,0.3,2.01289942292468,3.995999999999889
5,x_err,0.01,0.002,0.0006167876113425,6.022945117932633e-05,0.0158746651850487,0.0763377095344389,0.0760121089407944,0.0078683162728308,3,1,50,5,8,1,42,0.000723609099663,0.000723609099663,0.159726592309862,7.973049945035338,0.01,0.159726592309862,7.973049945035338
5,x_err,0.03,0.006,0.0004488725725756,4.383244019775583e-05,0.0468829180754548,0.2091405666622804,0.2066225123113404,0.0229530039561269,3,1,50,5,8,1,42,0.000723609099663,0.000723609099663,0.4775122842494959,7.973049945035338,0.03,0.4775122842494959,7.973049945035338
5,x_err,0.05,0.01,0.0003274175084974,3.197224445920154e-05,0.0769269610829482,0.3195375615582838,0.3135250600091481,0.037196377329585,3,1,50,5,8,1,42,0.000723609099663,0.000723609099663,0.7930151880882793,7.973049945035338,0.05,0.7930151880882793,7.973049945035338
5,x_err,0.1,0.02,0.0001503435120322,1.4680809370358844e-05,0.1480006751469342,0.5223682092622788,0.5058661927953635,0.0693358331575996,3,1,50,5,8,1,42,0.000723609099663,0.000723609099663,1.5713285729114053,7.973049945035338,0.1,1.5713285729114053,7.973049945035338
5,x_err,0.2,0.04,3.326566045175021e-05,3.2482305484426653e-06,0.2742326655311691,0.7407553007032874,0.7094883938780598,0.1203406005840324,3,1,50,5,8,1,42,0.000723609099663,0.000723609099663,3.0797256817347023,7.973049945035338,0.2,3.0797256817347023,7.973049945035338
5,x_err,0.3,0.06,7.8964521197265e-06,7.710742542680177e-07,0.3817217466054793,0.8399775163802341,0.8065469981971015,0.1564552589955798,3,1,50,5,8,1,42,0.000723609099663,0.000723609099663,4.517837769156063,7.973049945035338,0.3,4.517837769156063,7.973049945035338
6,amp_damp,0.01,0.0016666666666666,0.0010117495492154,8.224588938034548e-05,0.0016666666666668,0.0099584258102626,0.0099584258102624,4.9970718010197844e-17,4,0,50,5,8,1,42,0.0010322054683006,0.0010322054683006,0.0200166852083154,0.99999999999989,0.01,0.0200166852083154,0.99999999999989
6,amp_damp,0.03,0.005,0.0009719482103736,7.90104083128137e-05,0.0050000000000002,0.0296274906437349,0.0296274906437349,7.597286534908507e-17,4,0,50,5,8,1,42,0.0010322054683006,0.0010322054683006,0.0601505018825094,0.99999999999989,0.03,0.0601505018825094,0.99999999999989
6,amp_damp,0.05,0.0083333333333333,0.0009335868796478,7.589198659885537e-05,0.0083333333333333,0.0489698353102358,0.0489698353102359,9.354924194375124e-17,4,0,50,5,8,1,42,0.0010322054683006,0.0010322054683006,0.1004189960461288,0.99999999999989,0.05,0.1004189960461288,0.99999999999989
6,amp_damp,0.1,0.0166666666666666,0.0008436752145223,6.858299904393706e-05,0.0166666666666669,0.0959247762131353,0.0959247762131353,1.1862897961671426e-16,4,0,50,5,8,1,42,0.0010322054683006,0.0010322054683006,0.2016854197965757,0.99999999999989,0.1,0.2016854197965757,0.99999999999989
6,amp_damp,0.2,0.0333333333333333,0.0006872062072559,5.586351458944334e-05,0.0333333333333335,0.1840558010973942,0.1840558010973941,1.5038239879158064e-16,4,0,50,5,8,1,42,0.0010322054683006,0.0010322054683006,0.4068186201081587,0.99999999999989,0.2,0.4068186201081587,0.99999999999989
6,amp_damp,0.3,0.0499999999999999,0.0005577626373368,4.534094846542413e-05,0.0500000000000001,0.2649081093750006,0.2649081093750005,1.7307285496990296e-16,4,0,50,5,8,1,42,0.0010322054683006,0.0010322054683006,0.6155195326505444,0.99999999999989,0.3,0.6155195326505444,0.99999999999989
6,depol,0.01,0.0016666666666666,0.0009139761457922,7.433575548777866e-05,0.011054496211445,0.0643123805674396,0.0515277646328572,6.747655413453246e-17,4,0,50,5,8,1,42,0.0010322054683006,0.0010322054683006,0.1216485509968471,6.647586339771916,0.01,0.1216485509968471,6.647586339771916
6,depol,0.03,0.005,0.0007171575757341,5.838895296959436e-05,0.0328269339486327,0.1798386538535589,0.1445357968846723,1.0488980767878004e-16,4,0,50,5,8,1,42,0.0010322054683006,0.0010322054683006,0.364157436062936,6.647586339771916,0.03,0.364157436062936,6.647586339771916
6,depol,0.05,0.0083333333333333,0.0005633235137714,4.591349172128908e-05,0.0541575270888698,0.2799701134702773,0.2257320247276155,1.2293860930349667e-16,4,0,50,5,8,1,42,0.0010322054683006,0.0010322054683006,0.6055989354927414,6.647586339771916,0.05,0.6055989354927414,6.647586339771916
6,depol,0.1,0.0166666666666666,0.0003095273766329,2.529914208017084e-05,0.1056041344070536,0.4763838154451971,0.3873449785426993,1.5349260247036396e-16,4,0,50,5,8,1,42,0.0010322054683006,0.0010322054683006,1.204406480814605,6.647586339771916,0.1,1.204406480814605,6.647586339771916
6,depol,0.2,0.0333333333333333,9.54838985886512e-05,7.853104305620203e-06,0.2008548591264759,0.7145304009896627,0.591773022467809,1.7582334690470794e-16,4,0,50,5,8,1,42,0.0010322054683006,0.0010322054683006,2.3804953913088425,6.647586339771916,0.2,2.3804953913088425,6.647586339771916
6,depol,0.3,0.0499999999999999,3.0365422364996684e-05,2.515018231786796e-06,0.2866834516201808,0.8379365655776968,0.7076660334683991,1.836671304805951e-16,4,0,50,5,8,1,42,0.0010322054683006,0.0010322054683006,3.526148484562236,6.647586339771916,0.3,3.526148484562236,6.647586339771916
6,dephase,0.01,0.0016666666666666,0.0009864333246431,8.031089836418211e-05,0.0066555555555559,0.0392747540283675,0.0,7.582378098838571e-17,4,0,50,5,8,1,42,0.0010322054683006,0.0010322054683006,0.0453572880283775,3.995999999999889,0.01,0.0453572880283775,3.995999999999889
6,dephase,0.03,0.005,0.0009007769691931,7.356757201284918e-05,0.0199000000000009,0.1136151282838746,5.329070518200751e-15,1.1925579157165274e-16,4,0,50,5,8,1,42,0.0010322054683006,0.0010322054683006,0.1361953334153831,3.995999999999889,0.03,0.1361953334153831,3.995999999999889
6,dephase,0.05,0.0083333333333333,0.0008224307765363,6.738631381342657e-05,0.0330555555555552,0.182647989734727,0.0,1.4350515429745675e-16,4,0,50,5,8,1,42,0.0010322054683006,0.0010322054683006,0.2271887065830084,3.995999999999889,0.05,0.2271887065830084,3.995999999999889
6,dephase,0.1,0.0166666666666666,0.0006546998968351,5.409934091334222e-05,0.0655555555555569,0.3342350642771893,6.661338147750939e-15,1.7212346769013724e-16,4,0,50,5,8,1,42,0.0010322054683006,0.0010322054683006,0.4552760655435995,3.995999999999889,0.1,0.4552760655435995,3.995999999999889
6,dephase,0.2,0.0333333333333333,0.0004140786479819,3.485019631505349e-05,0.1288888888888896,0.5630403655547624,3.3306690738754696e-15,2.008473690546679e-16,4,0,50,5,8,1,42,0.0010322054683006,0.0010322054683006,0.9133970966609092,3.995999999999889,0.2,0.9133970966609092,3.995999999999889
6,dephase,0.3,0.0499999999999999,0.0002615540489832,2.244768902319637e-05,0.1900000000000008,0.7175704635190016,2.220446049250313e-15,2.0038516605125406e-16,4,0,50,5,8,1,42,0.0010322054683006,0.0010322054683006,1.3728120729946218,3.995999999999889,0.3,1.3728120729946218,3.995999999999889
6,x_err,0.01,0.0016666666666666,0.0008798873201751,7.152680069391906e-05,0.0132462244734149,0.0763134213977591,0.0759880297869504,0.0065722351607287,4,0,50,5,8,1,42,0.0010322054683006,0.0010322054683006,0.1596591693966062,7.973049945035338,0.01,0.1596591693966062,7.973049945035338
6,x_err,0.03,0.005,0.0006406900846236,5.208279050897915e-05,0.0392223602448849,0.2089587859325117,0.2064452060586084,0.0192620026176206,4,0,50,5,8,1,42,0.0010322054683006,0.0010322054683006,0.476907170738488,7.973049945035338,0.03,0.476907170738488,7.973049945035338
